config,backbone,learning_rate,val_loss,val_accuracy,val_iou,epochs_trained
resnet50v2_lr0.001,resnet50v2,0.001,0.5233187675476074,0.8671926259994507,0.878166913986206,7
resnet50v2_lr0.0001,resnet50v2,0.0001,0.6576383709907532,0.848126232624054,0.7918782234191895,7
mobilenet_lr0.0001,mobilenet,0.0001,0.7846836447715759,0.8165680766105652,0.7537276744842529,7
mobilenet_lr0.001,mobilenet,0.001,1.8041136264801025,0.7481919527053833,0.7936035990715027,7
